name,age,weight,height,gender,roll_number,mobile_number
Manav Patel,14,74,165,F,256,9877265517
Nidhi Ghosh,15,56,166,F,257,9887721475
Harsh Reddy,16,55,163,M,258,9817095851
Vihaan Ghosh,14,49,168,M,259,9828017744
Sneha Ghosh,17,47,179,F,260,9887000748
Aniket Reddy,17,61,180,F,261,9881587041
Vikas Das,17,56,158,F,262,9837687161
Bhavya Chopra,15,66,164,M,263,9879863671
Anaya Mehta,14,72,155,F,264,9890474316
Vihaan Gupta,14,64,172,F,265,9834013779
Nikhil Iyer,16,60,173,F,266,9869954108
Nidhi Sharma,16,73,168,M,267,9877465268
Tanvi Bose,15,72,164,F,268,9884390044
Vikas Nair,17,58,163,M,269,9821592623
Yash Patel,14,51,161,M,270,9897538155
Raj Joshi,15,60,160,M,271,9820638821
Vikas Rao,14,62,164,M,272,9899425131
Dev Das,16,57,163,M,273,9873375018
Swati Ghosh,15,66,178,F,274,9825646559
Vikas Das,17,59,179,F,275,9864463269
Arjun Joshi,14,54,165,F,276,9818884302
Varun Sharma,17,61,156,F,277,9849466988
Yash Reddy,17,56,158,F,278,9833260415
Harsh Reddy,16,60,166,F,279,9861966481
Aryan Bose,16,56,174,M,280,9898666767
Tanvi Patel,14,49,161,F,281,9826470039
Arjun Verma,17,48,180,F,282,9826389628
Raj Reddy,14,58,170,M,283,9893303706
Rahul Rao,16,67,176,F,284,9867639588
Tanya Chopra,17,56,158,F,285,9889119568
Sanya Joshi,16,56,167,M,286,9836231871
Bhavya Nair,16,46,165,F,287,9883202844
Kavya Mehta,17,54,171,F,288,9879089526
Swati Kumar,15,61,173,M,289,9828808141
Soham Bhatia,17,75,165,F,290,9896829341
Dev Ghosh,14,67,162,F,291,9812849976
Riya Rao,16,60,178,F,292,9843128252
Riya Rao,16,60,177,M,293,9882614401
Rahul Das,16,74,167,F,294,9827609788
Rohan Mehta,15,72,174,M,295,9874190953
Varun Iyer,16,46,172,F,296,9834952905
Swati Rao,15,48,155,M,297,9871691733
Ishaan Bhatia,14,63,162,F,298,9866306803
Ishaan Kumar,15,66,180,F,299,9823926041
